,ID_Muestreo,zona,I_PREPALIMENTOS_TIEMPO,J_LIMPIEZAVIV_TIEMPO,L1_LAVAROPA,L2_DOBLAROPA,L3_PLANCHA,L4_CALZADO,L_LIMPIEZAROPA_TIEMPO,O_CUIDOMENOR12_TIEMPO,P_CUIDO12MAS_TIEMPO,TDNR_TIEMPO,Relacion_parentesco,Sexo,niv_escolaridad,Estado_conyugal,Mantiene_hogar,Total
0,42,Urbano,8.16666666666667,4.33333333333333,0.75,0.5,,0.5,1.75,,,15.9166666666667,Jefa o jefe,Mujer,Quinto secundaria académica con título de bachiller,Casado(a),Sí,16.0
1,42,Urbano,2.33333333333333,0.75,0.25,0.5,,,0.75,,,3.83333333333333,Nieto(a),Mujer,Quinto secundaria académica con título de bachiller,Soltero(a),No,4.58333333333333
2,42,Urbano,11.75,19.5833333333333,0.25,0.5,,,0.75,,4.75,42.2,Hijo(a),Mujer,Tercero secundaria académica,Soltero(a),No,37.5833333333333
3,42,Urbano,8.58333333333333,6.75,,0.166666666666667,,0.583333333333333,0.75,,,16.0833333333333,Hijo(a),Hombre,Quinto secundaria académica sin título de bachiller,Soltero(a),No,16.8333333333333
4,42,Urbano,18.0833333333333,5.75,1.66666666666667,0.166666666666667,,,1.83333333333333,,,33.0833333333333,Otro(a) no familiar,Mujer,Cuatro años de  universidad,Viudo(a),Sí,27.5
5,42,Urbano,7.5,5.1,0.416666666666667,1.33333333333333,,,1.75,8.16666666666667,,25.5166666666667,Jefa o jefe,Mujer,Tercero secundaria académica,Separado,Sí,24.2666666666667
6,42,Urbano,21.5833333333333,4.0,,,,0.466666666666667,0.466666666666667,,,29.7166666666667,Jefa o jefe,Hombre,Quinto secundaria académica con título de bachiller,En unión libre o juntado(a),Sí,26.5166666666667
7,42,Urbano,7.75,3.83333333333333,4.5,0.5,0.166666666666667,,6.41666666666667,3.5,,29.0,Jefa o jefe,Mujer,Un  año de universidad,Divorciado(a),Sí,26.6666666666667
8,42,Urbano,3.5,2.33333333333333,,,,0.5,0.5,,,19.1666666666667,Jefa o jefe,Hombre,Cuatro años de  universidad,Casado(a),Sí,6.83333333333333
9,42,Urbano,,1.18333333333333,,,,0.1,0.1,,,5.28333333333333,Jefa o jefe,Hombre,Años de primaria ignorados,Casado(a),Sí,1.38333333333333
10,42,Urbano,25.0833333333333,18.4833333333333,3.0,2.0,4.0,,9.0,,,56.3166666666667,Esposo(a) o compañero(a),Mujer,Años de primaria ignorados,Casado(a),No,61.5666666666667
